item_id,timestamp,target_value
m4_daily_dataset_2546,2001-05-25,4957.7
m4_daily_dataset_2546,2001-05-26,4801.2
m4_daily_dataset_2546,2001-05-27,4724.4
m4_daily_dataset_2546,2001-05-28,4872.5
m4_daily_dataset_2546,2001-05-29,4901.9
m4_daily_dataset_2546,2001-05-30,5004.9
m4_daily_dataset_2546,2001-05-31,5046.1
m4_daily_dataset_2546,2001-06-01,5123.4
m4_daily_dataset_2546,2001-06-02,5135.9
m4_daily_dataset_2546,2001-06-03,5118.0
m4_daily_dataset_2546,2001-06-04,4969.8
m4_daily_dataset_2546,2001-06-05,5235.7
m4_daily_dataset_2546,2001-06-06,5319.2
m4_daily_dataset_2546,2001-06-07,5280.2
m4_daily_dataset_2546,2001-06-08,5111.7
m4_daily_dataset_2546,2001-06-09,5083.3
m4_daily_dataset_2546,2001-06-10,5145.5
m4_daily_dataset_2546,2001-06-11,5255.7
m4_daily_dataset_2546,2001-06-12,5251.1
m4_daily_dataset_2546,2001-06-13,5130.7
m4_daily_dataset_2546,2001-06-14,5119.2
m4_daily_dataset_2546,2001-06-15,5141.6
m4_daily_dataset_2546,2001-06-16,5150.6
m4_daily_dataset_2546,2001-06-17,5096.6
m4_daily_dataset_2546,2001-06-18,5079.3
m4_daily_dataset_2546,2001-06-19,5006.1
m4_daily_dataset_2546,2001-06-20,4888.9
m4_daily_dataset_2546,2001-06-21,5072.0
m4_daily_dataset_2546,2001-06-22,5059.1
m4_daily_dataset_2546,2001-06-23,5082.1
m4_daily_dataset_2546,2001-06-24,4972.6
m4_daily_dataset_2546,2001-06-25,4906.5
m4_daily_dataset_2546,2001-06-26,4940.9
m4_daily_dataset_2546,2001-06-27,4970.4
m4_daily_dataset_2546,2001-06-28,5122.7
m4_daily_dataset_2546,2001-06-29,5205.0
m4_daily_dataset_2546,2001-06-30,5259.7
m4_daily_dataset_2546,2001-07-01,5215.5
m4_daily_dataset_2546,2001-07-02,5135.7
m4_daily_dataset_2546,2001-07-03,5042.1
m4_daily_dataset_2546,2001-07-04,5095.2
m4_daily_dataset_2546,2001-07-05,5168.3
m4_daily_dataset_2546,2001-07-06,5140.4
m4_daily_dataset_2546,2001-07-07,5061.2
m4_daily_dataset_2546,2001-07-08,5073.4
m4_daily_dataset_2546,2001-07-09,4920.0
m4_daily_dataset_2546,2001-07-10,4809.1
m4_daily_dataset_2546,2001-07-11,4705.8
m4_daily_dataset_2546,2001-07-12,4620.2
m4_daily_dataset_2546,2001-07-13,4703.9
m4_daily_dataset_2546,2001-07-14,4696.0
m4_daily_dataset_2546,2001-07-15,4737.2
m4_daily_dataset_2546,2001-07-16,4601.8
m4_daily_dataset_2546,2001-07-17,4556.3
m4_daily_dataset_2546,2001-07-18,4524.6
m4_daily_dataset_2546,2001-07-19,4394.6
m4_daily_dataset_2546,2001-07-20,4490.5
m4_daily_dataset_2546,2001-07-21,4541.8
m4_daily_dataset_2546,2001-07-22,4598.5
m4_daily_dataset_2546,2001-07-23,4467.8
m4_daily_dataset_2546,2001-07-24,4465.6
m4_daily_dataset_2546,2001-07-25,4440.4
m4_daily_dataset_2546,2001-07-26,4354.2
m4_daily_dataset_2546,2001-07-27,4304.9
m4_daily_dataset_2546,2001-07-28,4218.7
m4_daily_dataset_2546,2001-07-29,4047.5
m4_daily_dataset_2546,2001-07-30,4018.7
m4_daily_dataset_2546,2001-07-31,3817.2
m4_daily_dataset_2546,2001-08-01,3751.0
m4_daily_dataset_2546,2001-08-02,3699.2
m4_daily_dataset_2546,2001-08-03,3872.7
m4_daily_dataset_2546,2001-08-04,3961.5
m4_daily_dataset_2546,2001-08-05,4175.0
m4_daily_dataset_2546,2001-08-06,4084.1
m4_daily_dataset_2546,2001-08-07,4107.4
m4_daily_dataset_2546,2001-08-08,4116.5
m4_daily_dataset_2546,2001-08-09,3951.3
m4_daily_dataset_2546,2001-08-10,3957.3
m4_daily_dataset_2546,2001-08-11,3862.8
m4_daily_dataset_2546,2001-08-12,3838.1
m4_daily_dataset_2546,2001-08-13,3933.0
m4_daily_dataset_2546,2001-08-14,3950.7
m4_daily_dataset_2546,2001-08-15,3952.4
m4_daily_dataset_2546,2001-08-16,3852.0
m4_daily_dataset_2546,2001-08-17,3825.1
m4_daily_dataset_2546,2001-08-18,3800.2
m4_daily_dataset_2546,2001-08-19,3739.6
m4_daily_dataset_2546,2001-08-20,3707.6
m4_daily_dataset_2546,2001-08-21,3722.1
m4_daily_dataset_2546,2001-08-22,3647.7
m4_daily_dataset_2546,2001-08-23,3574.6
m4_daily_dataset_2546,2001-08-24,3566.3
m4_daily_dataset_2546,2001-08-25,3430.2
m4_daily_dataset_2546,2001-08-26,3522.7
m4_daily_dataset_2546,2001-08-27,3490.6
m4_daily_dataset_2546,2001-08-28,3355.5
m4_daily_dataset_2546,2001-08-29,3264.3
m4_daily_dataset_2546,2001-08-30,3359.2
m4_daily_dataset_2546,2001-08-31,3438.3
m4_daily_dataset_2546,2001-09-01,3521.1
m4_daily_dataset_2546,2001-09-02,3550.6
m4_daily_dataset_2546,2001-09-03,3633.3
m4_daily_dataset_2546,2001-09-04,3565.8
m4_daily_dataset_2546,2001-09-05,3514.2
m4_daily_dataset_2546,2001-09-06,3550.7
m4_daily_dataset_2546,2001-09-07,3576.6
m4_daily_dataset_2546,2001-09-08,3639.4
m4_daily_dataset_2546,2001-09-09,3667.5
m4_daily_dataset_2546,2001-09-10,3711.9
m4_daily_dataset_2546,2001-09-11,3793.3
m4_daily_dataset_2546,2001-09-12,3751.5
m4_daily_dataset_2546,2001-09-13,3662.5
m4_daily_dataset_2546,2001-09-14,3306.4
m4_daily_dataset_2546,2001-09-15,3327.9
m4_daily_dataset_2546,2001-09-16,3442.6
m4_daily_dataset_2546,2001-09-17,3396.4
m4_daily_dataset_2546,2001-09-18,3233.0
m4_daily_dataset_2546,2001-09-19,3144.8
m4_daily_dataset_2546,2001-09-20,3180.7
m4_daily_dataset_2546,2001-09-21,3271.6
m4_daily_dataset_2546,2001-09-22,3257.5
m4_daily_dataset_2546,2001-09-23,3303.6
m4_daily_dataset_2546,2001-09-24,3252.0
