item_id,timestamp,target_value
m4_weekly_dataset_2,2001-05-27,194.796
m4_weekly_dataset_2,2001-06-03,192.71
m4_weekly_dataset_2,2001-06-10,190.288
m4_weekly_dataset_2,2001-06-17,188.77
m4_weekly_dataset_2,2001-06-24,187.043
m4_weekly_dataset_2,2001-07-01,187.353
m4_weekly_dataset_2,2001-07-08,186.808
m4_weekly_dataset_2,2001-07-15,186.721
m4_weekly_dataset_2,2001-07-22,188.039
m4_weekly_dataset_2,2001-07-29,190.927
m4_weekly_dataset_2,2001-08-05,188.641
m4_weekly_dataset_2,2001-08-12,189.136
m4_weekly_dataset_2,2001-08-19,190.508
m4_weekly_dataset_2,2001-08-26,192.577
m4_weekly_dataset_2,2001-09-02,192.298
m4_weekly_dataset_2,2001-09-09,193.544
m4_weekly_dataset_2,2001-09-16,190.545
m4_weekly_dataset_2,2001-09-23,194.387
m4_weekly_dataset_2,2001-09-30,196.027
m4_weekly_dataset_2,2001-10-07,195.748
m4_weekly_dataset_2,2001-10-14,193.488
m4_weekly_dataset_2,2001-10-21,194.194
m4_weekly_dataset_2,2001-10-28,195.993
m4_weekly_dataset_2,2001-11-04,196.739
m4_weekly_dataset_2,2001-11-11,196.922
m4_weekly_dataset_2,2001-11-18,196.007
m4_weekly_dataset_2,2001-11-25,198.991
m4_weekly_dataset_2,2001-12-02,199.071
m4_weekly_dataset_2,2001-12-09,197.053
m4_weekly_dataset_2,2001-12-16,195.928
m4_weekly_dataset_2,2001-12-23,197.298
m4_weekly_dataset_2,2001-12-30,197.873
m4_weekly_dataset_2,2002-01-06,196.44
m4_weekly_dataset_2,2002-01-13,195.586
m4_weekly_dataset_2,2002-01-20,198.776
m4_weekly_dataset_2,2002-01-27,198.815
m4_weekly_dataset_2,2002-02-03,197.691
m4_weekly_dataset_2,2002-02-10,197.033
m4_weekly_dataset_2,2002-02-17,198.091
m4_weekly_dataset_2,2002-02-24,198.345
m4_weekly_dataset_2,2002-03-03,198.807
m4_weekly_dataset_2,2002-03-10,196.817
m4_weekly_dataset_2,2002-03-17,197.185
m4_weekly_dataset_2,2002-03-24,200.533
m4_weekly_dataset_2,2002-03-31,200.972
m4_weekly_dataset_2,2002-04-07,201.257
m4_weekly_dataset_2,2002-04-14,202.298
m4_weekly_dataset_2,2002-04-21,202.811
m4_weekly_dataset_2,2002-04-28,204.856
m4_weekly_dataset_2,2002-05-05,203.712
m4_weekly_dataset_2,2002-05-12,204.942
m4_weekly_dataset_2,2002-05-19,209.777
m4_weekly_dataset_2,2002-05-26,207.823
m4_weekly_dataset_2,2002-06-02,204.976
m4_weekly_dataset_2,2002-06-09,200.79
m4_weekly_dataset_2,2002-06-16,199.656
m4_weekly_dataset_2,2002-06-23,199.896
m4_weekly_dataset_2,2002-06-30,199.668
m4_weekly_dataset_2,2002-07-07,200.762
m4_weekly_dataset_2,2002-07-14,201.08
m4_weekly_dataset_2,2002-07-21,203.92
m4_weekly_dataset_2,2002-07-28,202.594
m4_weekly_dataset_2,2002-08-04,202.541
m4_weekly_dataset_2,2002-08-11,201.664
m4_weekly_dataset_2,2002-08-18,205.149
m4_weekly_dataset_2,2002-08-25,205.123
m4_weekly_dataset_2,2002-09-01,207.769
m4_weekly_dataset_2,2002-09-08,204.955
m4_weekly_dataset_2,2002-09-15,203.349
m4_weekly_dataset_2,2002-09-22,207.678
m4_weekly_dataset_2,2002-09-29,205.744
m4_weekly_dataset_2,2002-10-06,207.377
m4_weekly_dataset_2,2002-10-13,207.375
m4_weekly_dataset_2,2002-10-20,209.69
m4_weekly_dataset_2,2002-10-27,211.707
m4_weekly_dataset_2,2002-11-03,210.619
m4_weekly_dataset_2,2002-11-10,209.255
m4_weekly_dataset_2,2002-11-17,211.92
m4_weekly_dataset_2,2002-11-24,213.226
m4_weekly_dataset_2,2002-12-01,215.286
m4_weekly_dataset_2,2002-12-08,212.185
m4_weekly_dataset_2,2002-12-15,210.682
m4_weekly_dataset_2,2002-12-22,212.57
m4_weekly_dataset_2,2002-12-29,213.656
m4_weekly_dataset_2,2003-01-05,211.941
m4_weekly_dataset_2,2003-01-12,212.726
m4_weekly_dataset_2,2003-01-19,215.709
m4_weekly_dataset_2,2003-01-26,214.847
m4_weekly_dataset_2,2003-02-02,214.609
m4_weekly_dataset_2,2003-02-09,214.897
m4_weekly_dataset_2,2003-02-16,215.027
m4_weekly_dataset_2,2003-02-23,215.499
m4_weekly_dataset_2,2003-03-02,216.006
m4_weekly_dataset_2,2003-03-09,217.266
m4_weekly_dataset_2,2003-03-16,215.888
m4_weekly_dataset_2,2003-03-23,217.008
m4_weekly_dataset_2,2003-03-30,220.31
m4_weekly_dataset_2,2003-04-06,218.545
m4_weekly_dataset_2,2003-04-13,221.375
m4_weekly_dataset_2,2003-04-20,221.985
m4_weekly_dataset_2,2003-04-27,223.961
m4_weekly_dataset_2,2003-05-04,224.515
m4_weekly_dataset_2,2003-05-11,226.324
m4_weekly_dataset_2,2003-05-18,226.935
m4_weekly_dataset_2,2003-05-25,225.928
m4_weekly_dataset_2,2003-06-01,225.385
m4_weekly_dataset_2,2003-06-08,220.375
m4_weekly_dataset_2,2003-06-15,216.157
m4_weekly_dataset_2,2003-06-22,216.669
m4_weekly_dataset_2,2003-06-29,216.571
m4_weekly_dataset_2,2003-07-06,219.579
m4_weekly_dataset_2,2003-07-13,217.394
m4_weekly_dataset_2,2003-07-20,220.16
m4_weekly_dataset_2,2003-07-27,221.761
m4_weekly_dataset_2,2003-08-03,221.552
m4_weekly_dataset_2,2003-08-10,220.687
m4_weekly_dataset_2,2003-08-17,224.333
m4_weekly_dataset_2,2003-08-24,223.658
m4_weekly_dataset_2,2003-08-31,224.408
m4_weekly_dataset_2,2003-09-07,227.487
m4_weekly_dataset_2,2003-09-14,223.327
m4_weekly_dataset_2,2003-09-21,226.704
m4_weekly_dataset_2,2003-09-28,226.066
m4_weekly_dataset_2,2003-10-05,226.067
m4_weekly_dataset_2,2003-10-12,226.48
m4_weekly_dataset_2,2003-10-19,229.535
m4_weekly_dataset_2,2003-10-26,229.771
m4_weekly_dataset_2,2003-11-02,231.812
m4_weekly_dataset_2,2003-11-09,229.325
m4_weekly_dataset_2,2003-11-16,230.614
m4_weekly_dataset_2,2003-11-23,234.305
m4_weekly_dataset_2,2003-11-30,235.101
m4_weekly_dataset_2,2003-12-07,231.407
m4_weekly_dataset_2,2003-12-14,231.702
m4_weekly_dataset_2,2003-12-21,233.07
m4_weekly_dataset_2,2003-12-28,233.149
m4_weekly_dataset_2,2004-01-04,232.17
m4_weekly_dataset_2,2004-01-11,233.238
m4_weekly_dataset_2,2004-01-18,235.585
m4_weekly_dataset_2,2004-01-25,235.764
m4_weekly_dataset_2,2004-02-01,235.059
m4_weekly_dataset_2,2004-02-08,235.44
m4_weekly_dataset_2,2004-02-15,234.577
m4_weekly_dataset_2,2004-02-22,235.443
m4_weekly_dataset_2,2004-02-29,237.038
m4_weekly_dataset_2,2004-03-07,238.638
m4_weekly_dataset_2,2004-03-14,236.659
m4_weekly_dataset_2,2004-03-21,239.133
m4_weekly_dataset_2,2004-03-28,241.048
m4_weekly_dataset_2,2004-04-04,243.073
m4_weekly_dataset_2,2004-04-11,242.735
m4_weekly_dataset_2,2004-04-18,244.793
m4_weekly_dataset_2,2004-04-25,246.98
m4_weekly_dataset_2,2004-05-02,246.954
m4_weekly_dataset_2,2004-05-09,249.886
m4_weekly_dataset_2,2004-05-16,253.598
m4_weekly_dataset_2,2004-05-23,251.44
m4_weekly_dataset_2,2004-05-30,250.881
