item_id,timestamp,target_value
m4_weekly_dataset_33,2001-05-27,2341.7
m4_weekly_dataset_33,2001-06-03,2333.0
m4_weekly_dataset_33,2001-06-10,2346.6
m4_weekly_dataset_33,2001-06-17,2196.9
m4_weekly_dataset_33,2001-06-24,2229.9
m4_weekly_dataset_33,2001-07-01,2244.5
m4_weekly_dataset_33,2001-07-08,2008.2
m4_weekly_dataset_33,2001-07-15,2653.0
m4_weekly_dataset_33,2001-07-22,2292.2
m4_weekly_dataset_33,2001-07-29,2339.7
m4_weekly_dataset_33,2001-08-05,2172.6
m4_weekly_dataset_33,2001-08-12,2096.7
m4_weekly_dataset_33,2001-08-19,2024.6
m4_weekly_dataset_33,2001-08-26,2059.5
m4_weekly_dataset_33,2001-09-02,1947.7
m4_weekly_dataset_33,2001-09-09,2302.2
m4_weekly_dataset_33,2001-09-16,2257.2
m4_weekly_dataset_33,2001-09-23,2188.4
m4_weekly_dataset_33,2001-09-30,2080.0
m4_weekly_dataset_33,2001-10-07,3174.3
m4_weekly_dataset_33,2001-10-14,2633.6
m4_weekly_dataset_33,2001-10-21,2442.2
m4_weekly_dataset_33,2001-10-28,2227.3
m4_weekly_dataset_33,2001-11-04,2120.5
m4_weekly_dataset_33,2001-11-11,2129.0
m4_weekly_dataset_33,2001-11-18,2048.6
m4_weekly_dataset_33,2001-11-25,1875.2
m4_weekly_dataset_33,2001-12-02,1851.7
m4_weekly_dataset_33,2001-12-09,1938.4
m4_weekly_dataset_33,2001-12-16,2139.8
m4_weekly_dataset_33,2001-12-23,1915.8
m4_weekly_dataset_33,2001-12-30,1884.8
m4_weekly_dataset_33,2002-01-06,1972.4
m4_weekly_dataset_33,2002-01-13,2305.8
m4_weekly_dataset_33,2002-01-20,1911.2
m4_weekly_dataset_33,2002-01-27,1996.6
m4_weekly_dataset_33,2002-02-03,1990.5
m4_weekly_dataset_33,2002-02-10,2322.4
m4_weekly_dataset_33,2002-02-17,2224.6
m4_weekly_dataset_33,2002-02-24,2463.0
m4_weekly_dataset_33,2002-03-03,2280.6
m4_weekly_dataset_33,2002-03-10,3057.8
m4_weekly_dataset_33,2002-03-17,2767.8
m4_weekly_dataset_33,2002-03-24,2488.5
m4_weekly_dataset_33,2002-03-31,3318.4
m4_weekly_dataset_33,2002-04-07,3764.9
m4_weekly_dataset_33,2002-04-14,4908.8
m4_weekly_dataset_33,2002-04-21,4188.4
m4_weekly_dataset_33,2002-04-28,2441.8
m4_weekly_dataset_33,2002-05-05,3055.9
m4_weekly_dataset_33,2002-05-12,2897.6
m4_weekly_dataset_33,2002-05-19,2142.1
m4_weekly_dataset_33,2002-05-26,2055.7
m4_weekly_dataset_33,2002-06-02,1963.3
m4_weekly_dataset_33,2002-06-09,1968.9
m4_weekly_dataset_33,2002-06-16,1797.1
m4_weekly_dataset_33,2002-06-23,1748.0
m4_weekly_dataset_33,2002-06-30,1651.6
m4_weekly_dataset_33,2002-07-07,1867.9
m4_weekly_dataset_33,2002-07-14,2467.7
m4_weekly_dataset_33,2002-07-21,2080.0
m4_weekly_dataset_33,2002-07-28,1685.0
m4_weekly_dataset_33,2002-08-04,1979.5
m4_weekly_dataset_33,2002-08-11,1852.8
m4_weekly_dataset_33,2002-08-18,1647.9
