item_id,timestamp,target_value
m4_weekly_dataset_243,2001-05-27,1976.0
m4_weekly_dataset_243,2001-06-03,1951.0
m4_weekly_dataset_243,2001-06-10,1929.0
m4_weekly_dataset_243,2001-06-17,2178.0
m4_weekly_dataset_243,2001-06-24,2303.0
m4_weekly_dataset_243,2001-07-01,2363.0
m4_weekly_dataset_243,2001-07-08,2385.0
m4_weekly_dataset_243,2001-07-15,3021.0
m4_weekly_dataset_243,2001-07-22,2254.0
m4_weekly_dataset_243,2001-07-29,4714.0
m4_weekly_dataset_243,2001-08-05,3903.0
m4_weekly_dataset_243,2001-08-12,4751.0
m4_weekly_dataset_243,2001-08-19,4231.0
m4_weekly_dataset_243,2001-08-26,5321.0
m4_weekly_dataset_243,2001-09-02,5837.0
m4_weekly_dataset_243,2001-09-09,5292.0
m4_weekly_dataset_243,2001-09-16,5215.0
m4_weekly_dataset_243,2001-09-23,5634.0
m4_weekly_dataset_243,2001-09-30,5601.0
m4_weekly_dataset_243,2001-10-07,5518.0
m4_weekly_dataset_243,2001-10-14,5252.0
m4_weekly_dataset_243,2001-10-21,5593.0
m4_weekly_dataset_243,2001-10-28,5259.0
m4_weekly_dataset_243,2001-11-04,5223.0
m4_weekly_dataset_243,2001-11-11,4922.0
m4_weekly_dataset_243,2001-11-18,4610.0
m4_weekly_dataset_243,2001-11-25,4808.0
m4_weekly_dataset_243,2001-12-02,4536.0
m4_weekly_dataset_243,2001-12-09,3484.0
m4_weekly_dataset_243,2001-12-16,3719.0
m4_weekly_dataset_243,2001-12-23,3117.0
m4_weekly_dataset_243,2001-12-30,2910.0
m4_weekly_dataset_243,2002-01-06,2716.0
m4_weekly_dataset_243,2002-01-13,2592.0
m4_weekly_dataset_243,2002-01-20,1809.0
m4_weekly_dataset_243,2002-01-27,2949.0
m4_weekly_dataset_243,2002-02-03,2314.0
m4_weekly_dataset_243,2002-02-10,2493.0
m4_weekly_dataset_243,2002-02-17,2505.0
m4_weekly_dataset_243,2002-02-24,2170.0
m4_weekly_dataset_243,2002-03-03,2931.0
m4_weekly_dataset_243,2002-03-10,2466.0
m4_weekly_dataset_243,2002-03-17,2702.0
m4_weekly_dataset_243,2002-03-24,2547.0
m4_weekly_dataset_243,2002-03-31,2463.0
m4_weekly_dataset_243,2002-04-07,2416.0
m4_weekly_dataset_243,2002-04-14,2363.0
m4_weekly_dataset_243,2002-04-21,2219.0
m4_weekly_dataset_243,2002-04-28,1863.0
m4_weekly_dataset_243,2002-05-05,1900.0
m4_weekly_dataset_243,2002-05-12,1749.0
m4_weekly_dataset_243,2002-05-19,1672.0
m4_weekly_dataset_243,2002-05-26,1867.0
m4_weekly_dataset_243,2002-06-02,1793.0
m4_weekly_dataset_243,2002-06-09,1604.0
m4_weekly_dataset_243,2002-06-16,1737.0
m4_weekly_dataset_243,2002-06-23,1821.0
m4_weekly_dataset_243,2002-06-30,1786.0
m4_weekly_dataset_243,2002-07-07,1866.0
m4_weekly_dataset_243,2002-07-14,2355.0
m4_weekly_dataset_243,2002-07-21,2368.0
m4_weekly_dataset_243,2002-07-28,3086.0
m4_weekly_dataset_243,2002-08-04,2890.0
m4_weekly_dataset_243,2002-08-11,3364.0
m4_weekly_dataset_243,2002-08-18,3165.0
m4_weekly_dataset_243,2002-08-25,3852.0
